,source,term_name,AD assoziiert,beteiligte Ptotein_size
0,GO:MF,RNA binding,32,65
1,GO:MF,protein-containing complex binding,27,49
2,GO:MF,protein binding,113,212
3,GO:MF,cytoskeletal protein binding,19,36
4,GO:MF,cell adhesion molecule binding,9,24
5,GO:MF,nucleosomal DNA binding,3,7
6,GO:MF,cadherin binding,7,16
7,GO:MF,actin filament binding,6,12
8,GO:MF,isomerase activity,6,11
9,GO:MF,binding,121,230
10,GO:BP,cellular component organization or biogenesis,84,148
11,GO:BP,cellular component organization,80,144
12,GO:BP,organelle organization,54,107
13,GO:BP,regulation of cellular component organization,41,64
14,GO:BP,nucleus organization,5,12
15,GO:BP,protein folding,7,15
16,GO:BP,protein-containing complex subunit organization,30,52
17,GO:BP,regulation of organelle organization,24,40
18,GO:BP,actin filament-based process,16,29
19,GO:BP,cytoskeleton organization,23,41
20,GO:BP,cellular response to stress,30,53
21,GO:BP,actin cytoskeleton organization,13,24
22,GO:CC,cytoplasm,112,211
23,GO:CC,intracellular,124,235
24,GO:CC,organelle,121,229
25,GO:CC,extracellular exosome,53,76
26,GO:CC,cytosol,66,127
27,GO:CC,extracellular vesicle,53,76
28,GO:CC,extracellular organelle,53,76
29,GO:CC,membrane-bounded organelle,117,215
30,GO:CC,organelle lumen,70,132
31,GO:CC,membrane-enclosed lumen,70,132
32,GO:CC,cytoskeleton,25,53
33,GO:CC,actin cytoskeleton,10,20
