"","tprs_lower","mean_tpr","tprs_upper","mean_fpr"
"0%",100,100,100,100
"5%",98.993288590604,99.4630872483221,99.7986577181208,95
"10%",98.1879194630872,98.7919463087248,99.3288590604027,90
"15%",97.1812080536913,97.9865771812081,98.5906040268456,85
"20%",96.4429530201342,97.3825503355705,98.1208053691275,80
"25%",95.3020134228188,96.3758389261745,97.1812080536913,75
"30%",94.2281879194631,95.4362416107383,96.3758389261745,70
"35%",93.2885906040269,94.496644295302,95.5704697986577,65
"40%",92.1476510067114,93.489932885906,94.6979865771812,60
"45%",90.7382550335571,92.2147651006711,93.6912751677852,55
"50%",89.4614093959732,91.006711409396,92.4832214765101,50
"55%",87.5167785234899,89.261744966443,90.8724832214765,45
"60%",84.7651006711409,86.6023489932886,88.3892617449664,40
"65%",82.011744966443,83.9597315436242,85.9060402684564,35
"70%",79.2617449664429,81.3422818791946,83.4228187919463,30
"75%",76.3087248322148,78.4563758389262,80.6040268456376,25
"80%",73.0872483221476,75.3691275167785,77.5838926174497,20
"85%",68.0536912751678,70.6711409395973,73.2214765100671,15
"90%",60.3355704697987,63.0872483221477,65.8389261744966,10
"95%",45.6375838926174,48.8590604026846,51.9463087248322,5
"100%",0,0,1.47651006711409,0
